video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,1-A,Wound creation,Wound creation,0:14,0:16,14.0,16.0,2.0,15 degree side port blade; Conjunctiva forceps,Wound creation,Side port creation at 8-10 oc position,15 degree side port blade   +/- Conj forceps to stabilise eye,0:14-0:16      0:19-0:21
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,1-A,Wound creation,Wound creation,0:20,0:27,20.0,24.0,4.0,15 degree side port blade; Conjunctiva forceps,Wound creation,Side port creation at 8-10 oc position,15 degree side port blade   +/- Conj forceps to stabilise eye,0:20-0:27
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,1-B,Wound creation,,0:24,0:25,24.0,25.0,1.0,BSS cannula,,BSS insertion,BSS cannula,0:24-0:25
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,1-C,Wound creation,,0:25,0:31,25.0,28.0,3.0,Conjunctiva forceps; Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Keratome   +/- Conj forceps to stabilise eye,0:25-0:31
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,1-D,Wound creation,,0:28,0:31,28.0,31.0,3.0,OVD cannula,,Viscoat insertion,Viscoat cannula,0:28-0:31
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,1-C,Wound creation,,0:34,0:38,34.0,38.0,4.0,Conjunctiva forceps; Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Keratome   +/- Conj forceps to stabilise eye,0:34-0:38         0:34-0:38
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,1-C,Wound creation,,0:38,0:39,38.0,39.0,1.0,Conjunctiva forceps; Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Keratome   +/- Conj forceps to stabilise eye,0:38-0:39
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,1-D,Wound creation,,0:41,0:46,41.0,46.0,5.0,OVD cannula,,Viscoat insertion,Viscoat cannula,0:41-0:46
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,2,Capsulorhexis,Capsulorhexis,0:48,1:08,48.0,50.0,2.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy  Begin at 9 oc  Tear the anterior capsule clockwise  To create a round capsulorhexis  Regrasp the tearing flap at 3 and 6 oc  Around 5.5mm in diameter,Utrata forceps,0:48-1:08
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,2,Capsulorhexis,Capsulorhexis,0:50,1:20,50.0,59.0,9.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy  Begin at 9 oc  Tear the anterior capsule clockwise  To create a round capsulorhexis  Regrasp the tearing flap at 3 and 6 oc  Around 5.5mm in diameter,Utrata forceps,0:50-1:20
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,1-D,Wound creation,,0:59,1:06,59.0,66.0,7.0,OVD cannula,,Viscoat insertion,Viscoat cannula,0:59-1:06
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,2,Capsulorhexis,Capsulorhexis,1:08,1:36,68.0,71.0,3.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy  Begin at 9 oc  Tear the anterior capsule clockwise  To create a round capsulorhexis  Regrasp the tearing flap at 3 and 6 oc  Around 5.5mm in diameter,Utrata forceps,1:08-1:36
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,3,Hydrodissection,Hydrodissection,1:11,1:36,71.0,83.0,12.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to seperate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse,BSS cann ula,1:11-1:36
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,3,Hydrodissection,Hydrodissection,1:23,2:02,83.0,98.0,15.0,,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to seperate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse,Hydrodissection cannula,1:23-2:02
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,4A,Phacoemulsification,Phacoemulsification,1:38,1:44,98.0,104.0,6.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,"Phaco probe   Second instrument - chopper, splitter, mushroom",1:38-1:44
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,4B,Phacoemulsification,,1:45,1:50,105.0,110.0,5.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,,Cracking of lens nucleus into 2 halves Place two instruments deep into the groove and separate the pieces horizontally,"Phaco probe   Second instrument - chopper, splitter, mushroom",1:45-1:50
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Kveh5CD16u8,4C,Phacoemulsification,,1:51,2:47,111.0,121.0,10.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,,Stop and chop Switch to phaco memory 2 setting (higher vacuum) Phaco probe holds the piece and 2nd instrument chops the lens half into smaller fragments  The small fragments are removed by the phaco probe,"Phaco probe   Second instrument - chopper, splitter, mushroom",1:51-2:47
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,4A,Phacoemulsification,Phacoemulsification,2:01,2:26,121.0,142.0,21.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,"Phaco probe   Second instrument - chopper, splitter, mushroom",2:01-2:26
CataractCoach™ 2107: help me go from good to great cataract surgery,2107,https://www.youtube.com/watch?v=Ovir0Fh4zZI,4A,Phacoemulsification,Phacoemulsification,2:22,3:15,142.0,191.0,49.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,"Phaco probe   Second instrument - chopper, splitter, mushroom",2:22-3:15
