image_path,video_number,timestamp,phase,phase_main,phase_name,label,label_id
images/2322_000300.jpg,2322,12.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000325.jpg,2322,13.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000350.jpg,2322,14.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000375.jpg,2322,15.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000400.jpg,2322,16.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000425.jpg,2322,17.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000450.jpg,2322,18.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000475.jpg,2322,19.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000500.jpg,2322,20.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000525.jpg,2322,21.0,1-A,Wound creation,Wound creation,Wound creation,7
images/2322_000575.jpg,2322,23.0,1-B,Wound creation,nan,Wound creation,7
images/2322_000600.jpg,2322,24.0,1-B,Wound creation,nan,Wound creation,7
images/2322_000625.jpg,2322,25.0,1-B,Wound creation,nan,Wound creation,7
images/2322_000650.jpg,2322,26.0,1-B,Wound creation,nan,Wound creation,7
images/2322_000700.jpg,2322,28.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000725.jpg,2322,29.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000750.jpg,2322,30.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000775.jpg,2322,31.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000800.jpg,2322,32.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000825.jpg,2322,33.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000850.jpg,2322,34.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000875.jpg,2322,35.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000900.jpg,2322,36.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000925.jpg,2322,37.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000950.jpg,2322,38.0,1-C,Wound creation,nan,Wound creation,7
images/2322_000975.jpg,2322,39.0,1-C,Wound creation,nan,Wound creation,7
images/2322_001000.jpg,2322,40.0,1-C,Wound creation,nan,Wound creation,7
images/2322_001050.jpg,2322,42.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001075.jpg,2322,43.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001100.jpg,2322,44.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001125.jpg,2322,45.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001150.jpg,2322,46.0,1-C,Wound creation,nan,Wound creation,7
images/2322_001350.jpg,2322,54.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001375.jpg,2322,55.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001400.jpg,2322,56.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001425.jpg,2322,57.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001450.jpg,2322,58.0,1-D,Wound creation,nan,Wound creation,7
images/2322_001475.jpg,2322,59.0,1-D,Wound creation,nan,Wound creation,7
