video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,1-A,Wound creation,Wound creation,0:15,0:20,15.0,20.0,5.0,,Wound creation,Side port creation at 8-10 oc position,Fixation ring  Side port blade,0:15-0:20
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,1-B,Wound creation,,0:21,0:32,21.0,32.0,11.0,BSS cannula,,BSS (balanced salt solution) and anesthetic insertion,BSS  cannula,0:21-0:32
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,1-C,Wound creation,,0:33,0:42,33.0,42.0,9.0,OVD cannula,,OVD insertion,OVD cannula,0:33-0:42
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,1-D,Wound creation,,0:43,0:59,43.0,59.0,16.0,Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Diamond keratome,0:43-0:59
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,2,Capsulorhexis,Capsulorhexis,1:10,1:56,70.0,116.0,46.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy with utrata forceps,Utrata forceps,1:10 - 1:56
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,3,Hydrodissection,Hydrodissection,1:57,2:07,117.0,127.0,10.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to seperate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse,BSS cannula,1:57-2:07
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,4A,Phacoemulsification,Phacoemulsification,2:25,2:29,145.0,149.0,4.0,Phacoemulsification probe; Chopper,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,Phaco probe   Second instrument - chopper,2:25-2:29
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,4B,Phacoemulsification,,2:30,2:47,150.0,167.0,17.0,Phacoemulsification probe; Chopper,,Cracking of lens nucleus into 2 halves Place two instruments deep into the groove and separate the pieces horizontally,Phaco probe   Second instrument - chopper,2:30-2:47
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,4C,Phacoemulsification,,2:48,3:33,168.0,213.0,45.0,Phacoemulsification probe; Chopper,,Stop and chop Switch to phaco memory 2 setting (higher vacuum) Phaco probe holds the piece and 2nd instrument chops the lens half into smaller fragments  The small fragments are removed by the phaco probe,Phaco probe   Second instrument - chopper,2:48-3:33
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,5,SLM removal,SLM removal,3:34,5:08,214.0,308.0,94.0,Irrigation and aspiration probe,SLM removal,Irrigation and aspiration of soft lens material with I/A Probe,Irrigation and aspiration probe,3:34-5:08
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,6A,Intraocular lens implantation,Intraocular lens implantation,5:09,5:22,309.0,322.0,13.0,OVD cannula,Intraocular lens implantation,Insert OVD to fill the capsular bag,OVD cannula,5:09-5:22
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,6C,Intraocular lens implantation,,5:28,5:36,328.0,336.0,8.0,Lens injector; Sinskey hook,,Use injector to insert lens into capsular bag   +/- sinksy hook to stabilise the eye and provide counter traction,Lens injector     +/- sinskey hook,5:28-5:36
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,6D,Intraocular lens implantation,,5:37,5:53,337.0,353.0,16.0,Sinskey hook,,Rotate the lens into the capsular bag,sinskey hook,5:37-5:53
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,7,Viscoelastic removal,Viscoelastic removal,5:54,6:25,354.0,385.0,31.0,Irrigation and aspiration probe,Viscoelastic removal,Use I/A probe to aspirate viscoat from bag and angles of the eye,I/A Probe,5:54-6:25
CataractCoach™ 1087: how to perfect your case,1087,https://www.youtube.com/watch?v=z3F33SxycC8,8A,Wound closure,Wound closure,6:30,7:05,390.0,425.0,35.0,BSS cannula,Wound closure,Hydrate the side ports and main port wounds using BSS cannula,BSS cannula,6:30-7:05
