video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,1-A,Wound creation,Wound creation,0:12,0:14,12.0,14.0,2.0,15 degree side port blade; Conjunctiva forceps,Wound creation,Side port creation at 8-10 oc position,15 degree side port blade   +/- Conj forceps to stabilise eye,0:12-0:14
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,1-B,Wound creation,,0:18,0:21,18.0,21.0,3.0,Conjunctiva forceps; Keratome,,Main port wound creation - 2 or 3 plane wound insertion created temporally  2 plane insertion: Angle blade upwards slightly first then insert blade horizontally into anterior chamber,Keratome   +/- Conj forceps to stabilise eye,0:18-0:21
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,1-C,Wound creation,,0:23,0:27,23.0,27.0,4.0,OVD cannula,,Viscoelastic insertion,Viscoelastic cannula,0:23-0:27
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,2,Capsulorhexis,Capsulorhexis,0:28,0:46,28.0,46.0,18.0,Utrata forceps,Capsulorhexis,Creation of anterior capsulotomy  Begin at 9 oc  Tear the anterior capsule clockwise  To create a round capsulorhexis  Regrasp the tearing flap at 3 and 6 oc  Around 5.5mm in diameter,Utrata forceps,0:28-0:46
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,3,Hydrodissection,Hydrodissection,0:47,0:59,47.0,59.0,12.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to separate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse,BSS cannula,0:47-0:59
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,4A,Phacoemulsification,Phacoemulsification,1:07,1:50,67.0,110.0,43.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,Phacoemulsification,Phaco chop technique,"Phaco probe   Second instrument - chopper, splitter, mushroom",1:07-1:50
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,4C,Phacoemulsification,,1:51,4:35,111.0,275.0,164.0,Phacoemulsification probe; Splitter; Chopper; Mushroom,,Stop and chop Switch to phaco memory 2 setting (higher vacuum) Phaco probe holds the piece and 2nd instrument chops the lens half into smaller fragments  The small fragments are removed by the phaco probe,"Phaco probe   Second instrument - chopper, splitter, mushroom",1:51-4:35
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,5,SLM removal,SLM removal,4:41,5:11,281.0,311.0,30.0,Irrigation and aspiration probe,SLM removal,Irrigation and aspiration of soft lens material with I/A Probe,Irrigation and aspiration probe,4:41-5:11
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,6A,Intraocular lens implantation,Intraocular lens implantation,5:11,5:15,311.0,315.0,4.0,OVD cannula,Intraocular lens implantation,Insert OVD to fill the capsular bag,OVD cannula,5:11-5:15
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,6B,Intraocular lens implantation,,5:17,5:21,317.0,321.0,4.0,Lens cartridge; Kellman forceps,,Load lens into cartridge,Lens  Lens cartridge  Kelman forceps,5:17-5:21
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,6C,Intraocular lens implantation,,5:26,5:44,326.0,339.0,13.0,Lens injector; Sinskey hook,,Use injector to insert lens into capsular bag   +/- sinksy hook to stabilise the eye and provide counter traction,Lens injector     +/- sinskey hook,5:26-5:44
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,7,Viscoelastic removal,,5:39,5:43,339.0,343.0,4.0,Irrigation and aspiration probe,,Use I/A probe to aspirate viscoat from bag and angles of the eye,I/A Probe,5:39-5:43
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,8A,Wound closure,Wound closure,5:46,5:50,346.0,350.0,4.0,BSS cannula,Wound closure,Hydrate the side ports and main port wounds using BSS cannula  Creating a whitish haze around the sides of the wounds,BSS cannula,5:46-5:50
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,8B,Wound closure,,5:51,6:00,351.0,360.0,9.0,BSS cannula,,"Check eye pressure  Use side of BSS cannula to lightly depress onto eye to assess the intra ocular pressure If too firm, release some fluid from the side or main port wound",BSS cannula,5:51-6:00
CataractCoach™ 2293: case 350 with a dense cataract,2293,https://www.youtube.com/watch?v=pnLtJuoWZLA&t=14s,8C,Wound closure,,6:01,6:09,361.0,369.0,8.0,,,Check the wounds to ensure they are water tight  No leakage of fluid when wounds swiped with cotton gauze swab,Cotton gauze tip,6:01-6:09
