video_title,video_number,video_url,phase,phase_main,phase_name,timestamp_start,timestamp_end,start_sec,end_sec,duration_sec,instrument_standardized,description,detailed_steps,instrument_used,timestamp_raw
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,1-B,Wound creation,,0:30,0:35,30.0,35.0,5.0,BSS cannula,,BSS (balanced salt solution) and anesthetic insertion,BSS  cannula,0:30-0:35
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,1-C,Wound creation,,0:40,0:49,40.0,49.0,9.0,OVD cannula,,OVD insertion,OVD cannula,0:40-0:49
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,1-D,Wound creation,Wound creation,0:50,0:59,50.0,59.0,9.0,,Wound creation,Side port creation,Side port blade Cotton bud,0:50-0:59
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,2,Capsulorhexis,Capsulorhexis,1:04,1:21,64.0,81.0,17.0,Utrata forceps; Sinskey hook,Capsulorhexis,Creation of anterior capsulotomy with utrata forceps,Utrata forceps   ?sinskey hook,1:04-1:21
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,3,Hydrodissection,Hydrodissection,1:24,1:36,84.0,96.0,12.0,BSS cannula,Hydrodissection,Insert cannula tip under anterior capsule and insert BSS to separate lens from capsule   Signs of hydrodissection Wave  Nucleus lift  Nucleus prolapse   Rotate the nucleus,BSS cannula,1:24-1:36
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,4A,Phacoemulsification,Phacoemulsification,1:47,1:58,107.0,118.0,11.0,Phacoemulsification probe; Mushroom,Phacoemulsification,Divide and conquer technique  Creation of trough - using phaco probe to create a central groove in the lens nucleus till it is deep enough to crack  A gauge of the depth is to be able to see a hint of the fundal red reflex  Phaco memory 1 setting,Phaco probe   Second instrument - ?mushroom,1:47-1:58
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,4B,Phacoemulsification,,1:59,2:00,119.0,120.0,1.0,Phacoemulsification probe,,Cracking of lens nucleus into 2 halves Place two instruments deep into the groove and separate the pieces horizontally,Phaco probe   Second instrument,1:59-2:00
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,4C,Phacoemulsification,,2:01,2:39,121.0,159.0,38.0,Phacoemulsification probe,,Stop and chop Switch to phaco memory 2 setting (higher vacuum) Phaco probe holds the piece and 2nd instrument chops the lens half into smaller fragments  The small fragments are removed by the phaco probe,Phaco probe   Second instrument,2:01-2:39
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,5,SLM removal,SLM removal,2:40,3:06,160.0,186.0,26.0,Irrigation and aspiration probe,SLM removal,Irrigation and aspiration of soft lens material with I/A Probe,Irrigation and aspiration probe,2:40-3:06
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,6A,Intraocular lens implantation,Intraocular lens implantation,3:07,3:14,187.0,194.0,7.0,OVD cannula,Intraocular lens implantation,Insert OVD to fill the capsular bag,OVD cannula,3:07-3:14
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,6C,Intraocular lens implantation,,3:15,3:35,195.0,215.0,20.0,Lens injector,,Use injector to insert lens into capsular bag,Lens injector,3:15-3:35
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,6D,Intraocular lens implantation,,3:43,3:53,223.0,233.0,10.0,Keratome,,Making another incision to account for astigmatism,Keratome,3:43-3:53
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,7,Viscoelastic removal,Viscoelastic removal,3:54,4:17,234.0,257.0,23.0,Irrigation and aspiration probe,Viscoelastic removal,Use I/A probe to aspirate viscoat from bag and angles of the eye,I/A Probe Second instrument,3:54-4:17
CataractCoach™ 1148: surgical skills after 2000 cataract surgeries,1148,https://www.youtube.com/watch?v=tcu6kywnZ8M,8A,Wound closure,Wound closure,4:18,4:54,258.0,294.0,36.0,BSS cannula,Wound closure,Hydrate the side ports and main port wounds using BSS cannula,BSS cannula,4:18-4:54
